action step p car_position s
- 0 2 37 0
[hazard_37] 1 2 37 -7
[hazard_37] 2 1 37 -2
[move_1_37] 3 2 36 0
[hazard_36] 4 2 36 -7
[hazard_36] 5 1 36 -2
[move_1_36] 6 2 33 0
[hazard_33] 7 2 33 -6
[hazard_33] 8 2 33 -8
[hazard_33] 9 1 33 6
[uturn_33] 10 1 5 -2
[move_1_5] 11 2 32 0
[hazard_32] 12 2 32 -6
[hazard_32] 13 2 32 -8
[hazard_32] 14 1 32 6
[uturn_32] 15 1 36 -2
[move_1_36] 16 2 33 0
[hazard_33] 17 2 33 -6
[hazard_33] 18 2 33 -9
[hazard_33] 19 1 33 1
[honk_33] 20 1 33 -2
[move_0_33] 21 2 6 0
[hazard_6] 22 2 6 -7
[hazard_6] 23 1 6 -2
[move_0_6] 24 2 8 0
[hazard_8] 25 2 8 -7
[hazard_8] 26 1 8 -2
[move_0_8] 27 2 0 0
[hazard_0] 28 2 0 -6
[hazard_0] 29 2 0 -9
[hazard_0] 30 1 0 1
[changelane_0] 31 1 0 -2
[move_0_0] 32 2 3 0
[hazard_3] 33 2 3 -7
[hazard_3] 34 1 3 -2
[term_3] 35 2 50 0
[term] 36 2 51 -11
[term] 37 2 51 -11
